3.587,1.032
3.576,1.083
3.57,1.082
3.587,1.217
3.571,1.167
3.559,1.227
3.503,1.29
3.5,1.279
3.439,1.404
3.414,1.353
3.394,1.477
3.373,1.439
3.363,1.507
3.401,1.527
3.305,1.584
3.306,1.624
3.21,1.687
3.213,1.691
3.15,1.754
3.156,1.774
3.119,1.778
3.026,1.804
3.027,1.817
2.947,1.873
2.888,1.867
2.825,1.883
2.802,1.96
2.795,1.923
2.686,1.919
2.693,1.921
2.601,1.994
2.488,1.961
2.437,2.032
2.463,2.017
2.355,2.064
2.27,2.065
2.218,2.066
2.168,2.031
2.125,2.065
2.068,2.049
2.033,2.085
1.901,2.02
1.843,2.024
1.797,2.029
1.804,2.065
1.743,1.995
1.631,2.05
1.623,1.996
1.498,1.965
1.527,1.955
1.429,1.926
1.42,1.926
1.319,1.954
1.223,1.878
1.258,1.853
1.196,1.835
1.159,1.795
1.085,1.768
1.037,1.806
0.964,1.72
0.988,1.714
0.889,1.672
0.869,1.664
